country,points,price,title,variety,winery,City,Lat,Lng
Portugal,87,15.0,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos,peso da regua,41.18,-7.76
US,87,13.0,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian,portage,42.21,-85.89
US,87,65.0,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks,eugene,43.96,-123.28
Spain,87,15.0,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem,baranain,42.67,-1.95
Italy,87,16.0,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo,grammichele,37.11,14.63
France,87,24.0,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach,colmar,48.19,7.33
Germany,87,12.0,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel,wittlich,49.83,6.9
France,87,27.0,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam,colmar,48.13,7.28
US,87,19.0,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature,whitehall,39.94,-82.89
France,87,30.0,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,Leon Beyer,colmar,48.04,7.31
US,87,34.0,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini,sonoma,38.49,-122.45
Germany,87,24.0,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking,morbach,49.95,7.11
Argentina,87,30.0,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque,tucuman,-26.09,-65.98
Spain,87,28.0,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey,aranda de duero,41.7,-3.79
US,87,32.0,Quiévremont 2012 Meritage (Virginia),Meritage,Quiévremont,front royal,38.69,-78.21
Italy,87,19.0,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto,belmonte mezzagno,37.99,13.35
US,87,22.0,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi,atascadero,35.65,-120.58
Italy,87,35.0,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,Canicattì,naro,37.36,13.78
US,87,69.0,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa,santa rosa,38.56,-122.54
US,86,16.0,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company,florin,38.42,-121.53
US,86,50.0,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve,sonoma,38.29,-122.46
US,86,50.0,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath,newberg,45.28,-123.06
Chile,86,15.0,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa,santa cruz,-34.58,-71.38
Italy,86,21.0,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto,niscemi,37.12,14.41
Italy,86,11.0,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano,sava,40.46,17.5
Italy,86,12.0,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa,vittoria,37.01,14.52
Italy,86,17.0,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni,mussomeli,37.67,13.73
US,86,22.0,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars,newberg,45.28,-123.01
France,86,9.0,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy,villefranche-sur-saone,46.12,4.7
US,86,14.0,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall,atascadero,35.64,-120.63
US,86,40.0,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara,leesburg,39.23,-77.48
