Country,Title,Variety,City,Lat,Lng,PriceAverage,PointsAverage,Price Average,Points Average
Portugal,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,peso da regua,41.18,-7.76,21.875,87.625,21.875,87.625
US,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,portage,42.21,-85.89,15.6,85.5,15.6,85.5
US,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,eugene,43.96,-123.28,28.61111111111111,87.0,28.61111111111111,87.0
Spain,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,baranain,42.67,-1.95,43.125,88.625,43.125,88.625
Italy,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,grammichele,37.11,14.63,17.6,87.8,17.6,87.8
France,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,colmar,48.19,7.33,34.82608695652174,91.78260869565217,34.82608695652174,91.78260869565217
Germany,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,wittlich,49.83,6.9,14.157894736842104,87.63157894736842,14.157894736842104,87.63157894736842
France,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,colmar,48.13,7.28,31.736842105263158,89.14035087719299,31.736842105263158,89.14035087719299
US,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,whitehall,39.94,-82.89,13.7,86.16666666666667,13.7,86.16666666666667
France,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,colmar,48.04,7.31,37.63636363636363,89.9090909090909,37.63636363636363,89.9090909090909
US,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,sonoma,38.49,-122.45,54.57142857142857,88.74285714285715,54.57142857142857,88.74285714285715
Germany,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,morbach,49.95,7.11,31.1,89.2,31.1,89.2
Argentina,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,tucuman,-26.09,-65.98,42.5,85.75,42.5,85.75
Spain,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,aranda de duero,41.7,-3.79,22.136363636363637,86.22727272727273,22.136363636363637,86.22727272727273
US,Quiévremont 2012 Meritage (Virginia),Meritage,front royal,38.69,-78.21,26.333333333333332,85.66666666666667,26.333333333333332,85.66666666666667
Italy,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,belmonte mezzagno,37.99,13.35,21.333333333333332,87.0,21.333333333333332,87.0
US,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,atascadero,35.65,-120.58,18.958333333333332,85.66666666666667,18.958333333333332,85.66666666666667
Italy,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,naro,37.36,13.78,19.333333333333332,86.66666666666667,19.333333333333332,86.66666666666667
US,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,santa rosa,38.56,-122.54,71.43589743589743,89.61538461538461,71.43589743589743,89.61538461538461
US,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,florin,38.42,-121.53,20.75,86.625,20.75,86.625
US,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,sonoma,38.29,-122.46,37.55555555555556,85.55555555555556,37.55555555555556,85.55555555555556
US,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,newberg,45.28,-123.06,35.46153846153846,87.76923076923077,35.46153846153846,87.76923076923077
Chile,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,santa cruz,-34.58,-71.38,18.428571428571427,87.2,18.428571428571427,87.2
Italy,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,niscemi,37.12,14.41,21.464285714285715,85.32142857142857,21.464285714285715,85.32142857142857
Italy,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,sava,40.46,17.5,15.9,87.2,15.9,87.2
Italy,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,vittoria,37.01,14.52,15.722222222222221,86.77777777777777,15.722222222222221,86.77777777777777
Italy,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,mussomeli,37.67,13.73,21.529411764705884,88.0,21.529411764705884,88.0
US,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,newberg,45.28,-123.01,27.416666666666668,86.66666666666667,27.416666666666668,86.66666666666667
France,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,villefranche-sur-saone,46.12,4.7,21.333333333333332,87.55555555555556,21.333333333333332,87.55555555555556
US,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,atascadero,35.64,-120.63,23.403508771929825,87.14035087719299,23.403508771929825,87.14035087719299
US,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,leesburg,39.23,-77.48,31.488372093023255,85.69767441860465,31.488372093023255,85.69767441860465
Italy,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,mussomeli,37.72,13.83,27.083333333333332,88.03333333333333,27.083333333333332,88.03333333333333
US,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,charlottesville,37.94,-78.5,24.896551724137932,86.93103448275862,24.896551724137932,86.93103448275862
France,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,villefranche-sur-saone,46.12,4.71,16.878048780487806,87.2439024390244,16.878048780487806,87.2439024390244
Chile,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,san vicente,-34.54,-70.97,22.36842105263158,86.6842105263158,22.36842105263158,86.6842105263158
Italy,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,sinnai,39.36,9.16,14.0,85.0,14.0,85.0
France,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,libourne,44.82,-0.27,19.333333333333332,85.22222222222223,19.333333333333332,85.22222222222223
US,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,napa,38.53,-122.32,40.5,86.83333333333333,40.5,86.83333333333333
US,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,east wenatchee bench,47.84,-120.07,59.875,84.0,59.875,84.0
Italy,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,bertinoro,44.04,11.99,22.0,86.5,22.0,86.5
US,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,sonoma,38.17,-122.45,22.666666666666668,85.33333333333333,22.666666666666668,85.33333333333333
France,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,epernay,49.03,4.01,65.33333333333333,89.16666666666667,65.33333333333333,89.16666666666667
US,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,lompoc,34.6,-120.14,36.81818181818182,87.0909090909091,36.81818181818182,87.0909090909091
France,Simonnet-Febvre 2015  Chablis,Chardonnay,auxerre,47.76,3.69,29.88888888888889,88.34920634920636,29.88888888888889,88.34920634920636
France,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,macon,46.32,4.75,18.875,88.5625,18.875,88.5625
US,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,college place,46.02,-118.4,33.875,87.375,33.875,87.375
France,Collet NV Brut Rosé  (Champagne),Champagne Blend,nice,43.72,7.21,69.23076923076923,88.6923076923077,69.23076923076923,88.6923076923077
US,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,drumheller,51.43,-112.65,12.0,86.28571428571429,12.0,86.28571428571429
US,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,sonoma,38.28,-122.46,28.0,85.6,28.0,85.6
Italy,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,venosa,40.97,15.85,21.88888888888889,88.0,21.88888888888889,88.0
US,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,santa rosa,38.6,-122.58,45.6,88.0,45.6,88.0
Germany,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,trier,49.81,6.77,11.727272727272727,87.36363636363636,11.727272727272727,87.36363636363636
Australia,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,gawler,-34.51,139.06,28.16393442622951,89.11475409836065,28.16393442622951,89.11475409836065
US,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,keizer,45.13,-123.12,35.0,87.5,35.0,87.5
Chile,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,molina,-35.15,-71.3,16.857142857142858,85.77551020408163,16.857142857142858,85.77551020408163
