Country,Title,Variety,City,Lat,Lng,PriceAverage,PointsAverage,Price Average,Points Average
Portugal,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,peso da regua,41.18,-7.76,15.0,87,15.0,87
US,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,portage,42.21,-85.89,13.0,87,13.0,87
US,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,eugene,43.96,-123.28,65.0,87,65.0,87
Spain,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,baranain,42.67,-1.95,15.0,87,15.0,87
Italy,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,grammichele,37.11,14.63,16.0,87,16.0,87
France,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,colmar,48.19,7.33,24.0,87,24.0,87
Germany,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,wittlich,49.83,6.9,12.0,87,12.0,87
France,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,colmar,48.13,7.28,27.0,87,27.0,87
US,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,whitehall,39.94,-82.89,19.0,87,19.0,87
France,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,colmar,48.04,7.31,30.0,87,30.0,87
US,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,sonoma,38.49,-122.45,34.0,87,34.0,87
Germany,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,morbach,49.95,7.11,24.0,87,24.0,87
Argentina,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,tucuman,-26.09,-65.98,30.0,87,30.0,87
Spain,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,aranda de duero,41.7,-3.79,28.0,87,28.0,87
US,Quiévremont 2012 Meritage (Virginia),Meritage,front royal,38.69,-78.21,32.0,87,32.0,87
Italy,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,belmonte mezzagno,37.99,13.35,19.0,87,19.0,87
US,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,atascadero,35.65,-120.58,22.0,87,22.0,87
