Unnamed: 0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,35.54356535470646,4.397245101003577,3.617121153208066,24.680945677654307,1.7711575597430287,,1.7711575597430287,,3.3074142861904465,0.9557851951541374,,,,0.0432688917938752,4.602495193802843,0.6403647932647132,0.37965453562238816,,,18.81904603652625,,0.01178718907261073,0.0,,0.8512494941669971,0.000761083976571901,,,,0.0,,,,,,0.006543100710293322,,0.3715953534034486,,,,,,,,,,,,,,,,100.0,,1.250159180256162
1861,39.34503052202456,5.400734767708935,5.173480320424555,26.85265332677538,2.132697211388183,,1.805222070296749,,2.857592303650888,1.1559690338100141,,,,0.05210120599436855,0.34600640318990034,0.6759367783556002,0.30049606824690933,,,14.895259171723918,,0.00932955150836642,0.0,,0.6737628609520258,0.006735023355937479,,,,0.0,,,,,,,,0.12221545089044865,,,,,,,,,,,,,,,,100.0,,1.2599029326087807
1862,39.09566291253442,4.458542155401305,4.656296286399429,25.284316234143716,1.7594907196536014,,2.1067442291979535,,2.949332513933812,0.9142704754321347,,,,0.050781335957621396,2.061377087098794,0.8960476541820641,0.3372311787255491,,,16.7161491442039,,0.010470050406276252,0.0,,0.7561291736890698,0.0074989583235760306,,,,0.0,,,,,,,,0.04640411991471112,,,,,,,,,,,,,,,,100.0,,1.2415362383335442
1863,39.095278544192226,8.751834916661434,6.305730473969357,22.589218805393067,1.9141429909696468,,2.8571383886393007,,3.353271603104008,0.5690457131408828,,,,0.046138841606017535,3.2094522746440526,0.8147605236282914,0.2508487424119646,,,12.434274335609356,,0.007788126196782463,0.0,,0.5624451838578802,0.006111061437277018,,,,0.0,,,,,,,,0.08965786317775397,,,,,,,,,,,,,,,,100.0,,1.186349145620729
1864,43.47585985361959,4.3375932653509315,5.433936236174451,25.248885083263783,2.8349771913210313,,3.048026187850018,,3.3326498210535753,1.2131956746789512,,,,0.045780968855809484,3.4296973202909524,0.8066857849920889,0.18395648596516104,,,9.118504602861368,,0.005711315566655129,0.0,,0.4124614641304642,0.026772068536704403,,,0.06839949199653078,0.0,,,,,,,,0.024933371341925067,,,,,,,,,,,,,,,,100.0,,1.3460877702695062
1865,50.63964409079198,4.8145010157326835,6.444957978552235,19.10119128806981,2.8915889675420368,,1.9130782128419164,,2.3080598848362883,0.5070516179811537,,,,0.04343130154016847,1.8264707805081648,0.9355144221890518,0.19554675635714866,,,9.693020545385744,,0.006071159860071548,0.0,,0.43844880494351135,0.04103269315510859,,,0.03446256475311754,0.0,,,,,,0.004131270146503829,,0.07487485765522539,,,,,,,,,,,,,,,,100.0,,1.542523462493449
1866,53.48529494617424,5.81629151391041,4.850905319819445,18.285876665498996,1.770246352845166,,2.262623126610155,,2.1491665823339097,0.3685596740481819,,,,0.04018868786163686,1.5417679519214977,0.849796692363854,0.20434503735529214,,,10.129140888508807,,0.00634432097728282,0.0,,0.458176034691816,0.013734459571416918,,,0.012576009207999748,0.0,,,,,,,,0.017588862910028282,,,,,,,,,,,,,,,,100.0,,1.5279838778075783
1867,45.40004872110595,5.1773968030906365,4.451052161055398,22.98116742060767,2.426632901125218,,2.9886386841436923,,2.3193538315275117,0.8707970886649868,,,,0.0431018277286895,1.3847396592956613,0.7204070717139824,0.26830167261961424,,,13.299395364622768,,0.008329989080581912,0.0,,0.6015775966621635,0.01948616986599279,,,0.020749339011854766,0.0,,,,,,,,0.007462382221319669,,,,,,,,,,,,,,,,100.0,,1.3827781737302827
1868,43.001472825039386,3.650526808848701,4.192562888779121,27.839185436111656,2.613632856482018,,2.9470520819035286,,2.040922435897067,0.8589835375519242,,,,0.03769353375629208,1.315360233030038,0.7452580430795547,0.2587384016243872,,,12.82535537559567,,0.008033077241803223,0.0,,0.5801351303317573,0.007853700580605964,,,0.015699502373955277,0.0,,,,,,,,0.008586213676045246,,,,,,,,,,,,,,,,100.0,,1.384960103280283
1869,47.52504641134762,4.398427103095304,5.047999167474233,21.884614762346903,2.984176646310094,,2.1908331902434197,,2.0793854557470652,0.9188335967352822,,,,0.038168366227098856,1.9843106538344935,0.8703601337455938,0.23141666766703906,,,11.471049461666574,,0.007184816612992534,0.0,,0.5188751952362095,0.018375422929225445,,,0.0,0.0,,,,,,,,0.021776139024281802,,,,,,,,,,,,,,,,100.0,,1.4208816631034542
1870,46.843163964274645,3.8568361759037475,5.5650470784452475,24.57158095878545,2.3077024979314147,,2.6696732555990463,,2.2037430707933754,0.5898286366364835,,,,0.04020444572252008,2.0020814184813074,0.7885707784057524,0.21084110159772093,,,10.451143080409171,,0.006546004938764893,0.0,,0.47274130622578725,0.026879589239310137,,,0.020297266721480238,0.0,,,,,,0.012878497247701551,,0.029914128240104185,,,,,,,,,,,,,,,,100.0,,1.4946748391354439
1871,47.518654851404065,3.425608628113222,4.973013327725268,24.175673736349772,2.338548887595137,,1.8333163881025134,,1.9421761368871717,0.5171006172019366,,,,0.03521781612172658,1.3535761249983136,0.7256352834661324,0.24441884109556272,,,12.155409456983772,,0.007557984105774613,0.0,,0.5480282607618401,0.0203213026563018,,,0.01041307001453848,0.0,,,,,,,,0.008645674519461554,,,,,,,,,,,,,,,,100.0,,1.4531294141295839
1872,45.897609344155875,8.073269412835044,5.749294557887262,26.24866945537065,1.7136015635714763,,1.4649360433358918,,1.826351692575464,0.6077806559274745,,,,0.03291810686000853,1.761107757638665,0.6149346930334825,0.14132828653369353,,,6.972824181594417,,0.004412829052570471,0.0,,0.31688185214506015,0.015272422584422218,,,0.015834205538550535,0.0,,,,,,,,0.007908982695873815,,,,,,,,,,,,,,,,100.0,,1.4361911906152613
1873,45.82990001895417,3.4999185514047735,4.627616654820832,30.432155045666594,1.260168551074985,,1.6134154042244342,,1.5805272981317224,0.6977914571793414,,,,0.02831684237316364,1.9766019142152536,0.4728768548257748,0.15192797030915192,,,9.048835480285469,,0.003554888198199997,0.0,,0.34064813071038064,0.019452991566582926,,,0.020353164992621766,0.0,,,,,,,,0.009354185290972275,,,,,,,,,,,,,,,,100.0,,1.4846555464786018
1874,45.8863656546698,3.8190527508605383,7.544848898078691,30.055869452364163,1.989682410066419,,2.1576848309671925,,1.960792406510165,0.760872814556948,,,,0.03492065529496441,0.6865408525344727,0.7759347399810836,0.12675098081001746,,,6.0077353524721735,,0.004145894169066294,0.0,,0.28419707438189107,0.02588275674528351,,,0.025865940178496853,0.0,,,,,,,,0.01054136632582841,,,,,,,,,,,,,,,,100.0,,1.4705300103645218
1875,43.73935780563791,4.224644186960712,5.951402055354027,24.259078183155232,1.7822664532503678,,2.3067487094092174,,1.6292694552390286,0.6838319959576146,,,,0.028844765261586625,0.6317648880524468,0.7795145713811782,0.24317228248532052,,,15.351965695503155,,0.005024917099780256,0.0,,0.5452332661368486,0.013467415704133947,,,0.019988790907332646,0.0,,,,,,0.05662250871878122,0.0015362725049189517,0.005975748486934759,0.04703874220265488,,,,,,,,,,,,,,,100.0,,1.591536248432764
1876,46.56466066040385,7.055515434558844,7.388564217940524,25.703768092605955,2.7502693421718063,,2.5154055196113996,,2.066391652355272,0.9785992606683632,,,,0.035537133151699714,0.8990334874612202,0.5931915872118122,0.12709864915773436,,,5.36362068953552,,0.004662970706426406,0.0,,0.2849766054485929,0.031455262825552305,,,0.01688758608643052,0.0,,,,,,0.06126031371783955,0.0020753782627805574,0.008886189650121033,0.0635454860796839,,,,,,,,,,,,,,,100.0,,1.64167139845027
1877,40.15449513346771,4.672261510994603,7.393798820058846,29.334600610926582,2.3293858171564086,,3.10462650377702,,2.0282788080946563,1.100421802256972,,,,0.03397066834261524,1.1792508288233565,0.651070623324434,0.1929527548780745,,,10.334300889723906,,0.005401270567308235,0.0,,0.43263261617255305,0.01173975290133713,,,0.028130571895143515,0.0,,,,,,0.02819669041547865,0.0022911675975428214,0.016666976847766964,0.0701526855546885,,,,,,,,,,,,,,,100.0,,1.5399398907091881
1878,31.506594411762656,5.97552464146426,4.755559048625743,32.53427834422749,2.68407204455268,,4.865065955664634,,1.4765076836233098,1.0073202814288802,,,,0.030286763128295,0.14268774837535045,0.5481832919058038,0.29696450578886535,,,18.24286130733574,,0.006523164098903851,0.0,,0.6658445023550429,0.01164771156884757,,,0.019747281828935582,0.0,,,,,,0.011987111349003673,0.0025264554819928653,0.003526794870053455,0.07735690622818002,,,,,,,,,,,,,,,100.0,,1.449041214939707
1879,28.961864429984,10.201827598780913,3.987804574868979,36.78850710604834,4.131951480957781,,8.597957998434467,,1.2927023053954194,0.9981156119311644,,,,0.026502345962515113,0.4666116552427011,0.3597502538078506,0.208823779880473,,,11.953699297680982,,0.005256569561960157,0.0,,0.4682181307326664,0.0073912789999930565,,,0.016631252527024264,0.0,,,,,,0.05147424798673576,0.0022301550730163587,0.002353366196277011,0.0682845583811928,,,,,,,,,,,,,,,100.0,,1.416725824901905
1880,18.62669866145472,16.47345845348498,4.439642758665521,46.56164922504962,6.7686086921391215,,3.36146518396892,,1.2410375631619497,0.8980011310867944,,,,0.021477193718492497,0.5560156862914617,0.29664821707941164,0.08766695708993723,,,3.579714737626046,,0.003308073080625291,0.0,,0.19656410203457664,0.008223565091411464,,,0.0438708945005478,0.0,,,,,,0.1275835106991563,0.002160475621142871,0.001519041389702554,0.06615106073477608,,,,,,,,,,,,,,,100.0,,1.5966404169093658
1881,18.699387119049053,12.709554341226836,5.08031460024633,50.927702710178515,3.2529032645728684,,3.038057676922687,,1.2461449616705942,0.9776241854110308,,,,0.021377382187654545,0.24589712889722323,0.2970147991994482,0.12216570890169329,,,5.992297412969428,,0.0038413581678739457,0.0,,0.2739161214988171,0.007013971959892074,,,0.01868819766712248,0.0,,,,,,0.0787023677559043,0.0013953101203955252,0.0013364079848856396,0.042722650334422956,,,,,,,,,,,,,,,100.0,,1.6922976445487112
1882,18.566113986658443,9.409600653614618,5.494153701902636,54.39559409636235,2.9748387756878505,,2.88375527870028,,1.182348173429932,1.0636453521320006,,,,0.021513999989123272,0.44379853063088726,0.30969165929235903,0.119277997925367,,,5.551351626246927,,0.003979682328686004,0.0,,0.26744138650357085,0.007833031830581748,,,0.017483131562024683,0.0,,,,,,0.0654921898152744,0.0032244346752894693,0.0038894334666699317,0.09872815594538305,,,,,,,,,,,,,,,100.0,,1.7737206403610752
