0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,3.2242539386198747,,,0.25183956223305737,0.9157174977937927,,,,1.8512225985421016,,,,,,9.975080691475895,,,,,,,,,,,0.5321359373642942,,,,,,,,,,4.490495769839735,,,,,,,,,,,,,,,,,,100.0,,0.5133234509873672
1861,5.331793011741247,,,0.3370829957607534,1.1026394253978924,,,,2.5600012282741105,,,,,,10.641573306766054,,,,,,,,,,,0.5777795095036092,,,,,,,,,,5.635961228119074,,,,,,,,,,,,,,,,,,100.0,,0.48149097751411496
1862,2.5042576370794842,3.3276506284304106,,0.18436421443630674,1.8191897536330488,,,,2.495304020551737,,,,,,11.224316502830927,,,,,,,,,,,0.6841275735150375,,,,,,,,,,5.197661491701493,,,,,,,,,,,,,,,,,,100.0,,0.5212466118536825
1863,1.9295728699177925,3.484148366001077,,1.68347935461103,1.4981994583287317,,,,2.502563266459723,,,,,,12.09489362747679,,,,,,,,,,,0.275236391863931,,,,,,,,,,5.400748576572146,,,,,,,,,,,,,,,,,,100.0,,0.5255220627681338
1864,2.2351394909477644,5.222343056251847,,2.8390935703865665,1.1526382467696814,,,,2.2019529410647873,,,,,,13.072794738322042,,,,,,,,,,,0.007401609378622109,,,,,,,,,,5.974627145645284,,,,,,,,,,,,,,,,,,100.0,,0.5176811972780199
1865,1.758828237871877,3.89633505317252,,1.8137278747187375,1.1022546540883487,,,,2.998348756327972,,,,,,11.453001722748901,,,,,,,,,,,0.0,,,,,,,,,,6.688910691748784,,,,,,,,,,,,,,,,,,100.0,,0.5160737142862786
1866,1.3378516858196197,3.331797423947047,0.010279155448187768,0.38280689063243184,1.7460024452083087,,,,3.2191792451770493,,,,,,11.378678265141156,,,,,,,,,,,0.396359580303354,,,,,,,,,,7.401612453533775,,,,,,,,,,,,,,,,,,100.0,,0.5964211109441597
1867,3.573289396523818,2.950994669153818,0.010680843163987446,0.8737590252412206,0.6032328564516466,,,,3.7449531133049154,,,,,,12.276402388455907,,,,,,,,,,,0.19415418916618887,,,,,,,,,,6.568608640970044,,,,,,,,,,,,,,,,,,100.0,,0.590958084839672
1868,6.052711658694919,1.5264119075208056,0.008315561288430775,0.16025896198877898,0.6218973392547261,,,,3.3625390174058114,,,,,,11.809308346481043,,,,,,,,,,,0.06158780850294142,,,,,,,,,,5.944035116167148,,,,,,,,,,,,,,,,,,100.0,,0.6106708624531771
1869,5.867579651578991,1.8738340478101447,0.009476926053460155,0.7324978049980293,0.6348050958599685,,,,4.304802117767714,,,,,,12.120938033894848,,,,,,,,,,,0.037271679143631165,,,,,,,,,,5.561026838098434,,,,,,,,,,,,,,,,,,100.0,,0.5903048118281561
1870,2.069222637089214,1.2228566233364024,0.008290941184973347,0.033510732375132864,0.9602325219434733,,,,6.7829476049664645,,,,,,13.20621667097214,,,,,,,,,,,0.005526404746885538,,,,,,,,,,6.1238640214114675,,,,,,,,,,,,,,,,,,100.0,,0.6451758404731196
1871,2.1153857555893585,0.8322463857960819,0.008926141606461999,0.039157487186172894,2.0101355941673287,,,,4.6952793306677485,,,,,,11.86117276943156,,,,,,,,,,,0.0,,,5.879805522597547,,,,,,,5.850735106072061,,,,,,,,,,,,,,,,,,100.0,,0.6175803209296773
1872,6.937425987413732,0.5673790322945149,0.013414797612666077,0.03883038619088559,2.595485675157656,,,,6.322818972529524,,,,,,11.959725888130938,,,,,,,,,,,0.0,,,4.919477925852967,,,,,,,4.832807948909647,,,,,,,,,,,,,,,,,,100.0,,0.5835708091382326
1873,7.4107353203940285,1.7570082701529017,0.008794336411828058,0.022649099752148065,1.4816039562508174,,,,9.33385283541756,,,,,,11.346223923041181,,,,,,,,,,,0.2710281627284068,,,4.310697087380921,,,,,,,2.970421639036321,,,,,,,,,,,,,,,,,,100.0,,0.5909417164930748
1874,9.661876291464596,1.6223838346885506,0.012013557144767631,0.033260362675737155,1.2935831524651307,,,,9.179873726076252,,,,,,11.767590359286306,,,,,,,,,,,0.3155077486802458,,,5.113440781844053,,,,,,,3.9594428244410964,,,,,,,,,,,,,,,,,,100.0,,0.5841922676379419
1875,3.421856496319457,0.635534602415958,0.009766180888770527,0.03799688096468671,1.2451909946968258,,,,8.09506058589194,,,,,,9.823721070045744,,,,,,,,,,,0.22190599653497817,,,3.12265220861903,,,,,,,3.9095263190142884,,,,,,,,,,,,,,,,,,100.0,,0.6149482640394576
1876,9.456076738935035,1.012664999931701,0.012493916560847376,0.04939787327991202,1.2744018571895332,,,,9.047709364456544,,,,,,12.679456716104731,,,,,,,,,,,0.0,,,2.7483666656092787,6.7403121076949235,,,,,,5.015841127887937,,,,,,,,,,,,,,,,,,100.0,,0.6102534519649034
1877,9.157619615410571,1.2984265228995517,0.009369120685804361,0.04329525431077532,1.1957053841935759,,,,7.652592135671983,,,,,,11.51701079573023,,,,,,,,,,,0.3126934201993088,,,2.417226016561158,8.417320557546331,,,,,,5.166472337130255,,,,,,,,,,,,,,,,,,100.0,,0.6060963233363659
1878,17.940486136724072,0.4702310979304655,0.012770582679003915,0.05295762530660909,0.9564170298740075,,,,6.312204656860507,,,,,,8.371304408422779,,,,,,,,,,,0.1074275622030606,,,1.826286780034781,6.090146497043295,,,,,,3.301147661497175,,,,,,,,,,,,,,,,,,100.0,,0.7211644010582845
1879,27.92928055892081,0.2774262343362672,0.02599378229357875,0.05070940625210736,1.0131348754249858,,,,10.107774214082339,,,,,,6.552510900366923,,,,,,,,,,,0.183210306442876,,,1.6305996117271107,5.198091048307797,,,,,,3.4447475126544407,,,,,,,,,,,,,,,,,,100.0,,0.82976004408713
1880,54.0340301591325,0.23079751570344473,0.009489626952759699,0.04984632161779337,0.2234600981281897,,,,3.5486011363446486,,,,,,5.914497960942651,,,,,,,,,,,0.0,,,1.3592904679419764,3.8242874835882947,,,,,,2.281011658383023,,,,,,,,,,,,,,,,,,100.0,,1.1698089443258541
1881,56.76598005903175,0.26826912855257773,0.007647917794167331,0.04985666095777277,0.21867642612486587,1.433848805269512,0.2434356638279794,,3.515826237163374,,,0.6807160994713845,,9.121306066491245,5.36515010215714,,,,,,,,,,,0.08885188820938905,,,1.4283187111273703,4.9800900170901174,,,,,,2.8075304572824655,,,,,,,,,,,,,,,,,,100.0,,1.3874003518264753
1882,53.44561910481891,0.4251833658034995,0.00747033585647375,0.06227090441149756,0.27944799788113345,1.4040118648142408,0.2405256689621164,,3.8807455220986746,,,0.6665510873360538,,8.839318334357777,5.066144857720951,,,,,,,,,,,0.023532776919337733,,,1.5105168012139225,3.623768805023584,,,,,,2.7925197465296083,,,,,,,,,,,,,,,,,,100.0,,1.3810439686084002
1883,57.76061288881923,0.2949252194802295,,0.1470658340676636,0.2692877284131624,1.2735929828211194,0.21993278418494808,,3.61224417824588,,,0.6046350524504305,,7.939115530185832,4.549927761704743,,,,,,,,,,,0.2512962441948344,,,2.0382646419947115,4.043529074701214,,,,,,1.601912214781897,,,,,,,,,,,,,,,,,,100.0,,1.347976555590151
1884,57.38177037391878,0.812081094017152,,0.06515980991364313,0.27662959183192737,1.397511269428766,0.24392923975483913,,4.1244933606232,,,0.6634649460924444,,8.624761973692802,4.846785645966643,,,,,,,,,,,0.044836304975884325,,,0.8225564291208021,5.695846562203634,,,,,,1.2624496170417534,,,,,,,,,,,,,,,,,,100.0,,1.318408806055819
1885,54.04952534754497,2.0808829329447898,0.004357690206565171,0.14648232310366882,0.20036260654223648,1.3077033357076449,0.23100117105914442,,3.7921415366831237,,,0.6208288563460537,,7.991441130132432,4.392540284643178,,,,,,,,,,,0.2310651993937114,,,1.125172056695258,3.7656572418538925,,,,,,2.6100446623602993,,,,,,,,,,,,,,,,,,100.0,,1.3872270516324552
1886,64.17736679431397,1.4870230168988847,0.00511519969502839,0.1889728896854751,0.14345923653265055,1.0636081629248897,0.20579364935980599,,3.2465622061651045,,,0.5172739153022687,,6.962948617019806,3.8451581436965587,,,,,,,,,,,0.1185256003845299,,,1.034157550341475,4.383925492519047,,,,,,1.8163101738624454,,,,,,,,,,,,,,,,,,100.0,,1.5161037094281034
1887,64.94246494595049,0.7149664725519342,0.004305603143053946,0.09985906110209254,0.11515624567428699,1.015198088500992,0.18924984366472658,,3.0598704886225208,,,0.5287490044276,,6.271195842073284,3.697803783329723,,,,,,,,,,,0.15859779603591043,,,0.9242072585760595,5.675856188028072,,,,,,0.8180328722399842,,,,,,,,,,,,,,,,,,100.0,,1.551535124655703
1888,65.43091746576582,0.20909612280607953,0.005139917137438753,0.11898401283335941,0.13937030879577628,1.0950988943810023,0.19577332313805323,,3.653022217825499,,,0.4770727856709317,,6.184265607150126,3.634014478739067,,,,,,,,,,,0.06811717724576233,,,0.954979906588622,4.443390870359194,,,,,,0.7234971433149339,,,,,,,,,,,,,,,,,,100.0,,1.5777677926776135
1889,59.173976758937144,0.08702722801367097,0.007029546137831863,0.13505008279999717,0.13233383407085791,1.1529405146468084,0.2058111852028342,,4.213658480882717,,,0.5086502270500625,,6.322899100178242,4.085351969699659,,,,,,,,,,,0.1936168157243543,,,0.9703215191297814,5.96934951458385,,,,,,0.7004396209938833,,,,,,,,,,,,,,,,,,100.0,,1.4916049210772366
1890,62.02148398892097,0.09273485597328615,0.004739892877751537,0.0979115726141341,0.22959589845075798,1.2312153784180022,0.21018850813699702,,4.221236241364009,,,0.5325722334552289,,6.298096154344739,4.215875132663684,,,,,,,,,,,0.08267801622906967,,,1.0945934207872698,4.90224151020805,,,,,,0.6386629129927726,,,,,,,,,,,,,,,,,,100.0,,1.5237593523147244
1891,66.02032987718746,0.05467620424051668,0.003926063807762582,0.07621122601394588,0.27609319317439807,1.3439900752302416,0.19878150808685366,,3.9177310692961544,,,0.4945883476847289,,5.803886740874274,4.101580712380513,,,,,,,,,,,0.07291482277823777,,,1.0780375559714708,1.739230676553951,,,,,,0.6703165015303643,,,,,,,,,,,,,,,,,,100.0,,1.6177923681291553
1892,58.76939439234097,0.05813721916719799,0.0030349864151503225,0.057972930906068795,3.3161275944066233,1.4884128720498182,0.23284280694184384,,5.306879810773254,,,0.5753528749100136,,6.7260001844099975,4.923981322479048,,,,,,,,,,,0.11028894515799,,,1.2862695186693414,3.2438019857290765,,,,,,0.6736918130594974,,,,,,,,,,,,,,,,,,100.0,,1.4317893711217964
